sweep,scheme,N,range_pct,d,matched,abse_test_calls,bitmap_words,agg_entries,note,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
vs_N,BVCRSA,5000,30,1,8,4,79,8,,20,1661.6507148008168,1661.6226135010947,0.3532365663793341,0.15481275101431033,1660.8248599986837,1662.38491400145,"[1661.292009, 1662.010732, 1661.50087, 1661.655095, 1661.729903, 1662.070883, 1661.835251, 1661.532079, 1661.504705, 1661.862052, 1662.384914, 1661.724784, 1661.401444, 1661.590132, 1660.82486, 1662.138589, 1661.795938, 1661.468667, 1661.23995, 1661.451439]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,Trinity,5000,30,1,62,,79,62,,20,45808.694601250136,45786.777649000214,54.99736287881823,24.10365702813117,45737.663390002126,45919.85980299796,"[45831.135395, 45919.859803, 45912.811223, 45899.895233, 45866.239887, 45847.882099, 45830.050459, 45778.387737, 45781.12999, 45786.437159, 45772.081202, 45770.819627, 45778.55857, 45743.485116, 45776.799648, 45750.633289, 45805.554989, 45737.66339, 45797.34907, 45787.118139]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,VC-KASE,5000,30,1,224,,79,224,,20,5928.986187699593,5928.922948500258,0.8644282330502371,0.37885237699099067,5927.618295001594,5930.692041001748,"[5928.561481, 5928.906608, 5929.023592, 5928.008032, 5927.618295, 5928.485698, 5929.252792, 5929.472438, 5930.467581, 5930.692041, 5928.939289, 5929.15945, 5927.97699, 5927.924196, 5928.609207, 5928.4318, 5930.433946, 5928.679151, 5929.333194, 5929.747973]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,ABSE-Range,5000,30,1,62,,79,62,,20,28531.426017700323,28531.98034849993,1.7820424712253362,0.7810145484725066,28528.292584000155,28533.352786998876,"[28531.51555, 28533.352787, 28532.94095, 28532.094025, 28528.710598, 28532.506797, 28528.292584, 28531.1865, 28531.165833, 28532.697344, 28528.921941, 28531.866672, 28529.85063, 28533.317108, 28532.971, 28533.258712, 28533.347142, 28532.178563, 28529.912899, 28528.432719]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,Latt-IBEKS,5000,30,1,62,,79,62,,20,23.301918549987022,23.05913099917234,0.7588754880026447,0.3325918468159189,22.806214001320768,26.2653549980314,"[26.265355, 23.967748, 23.300972, 23.466175, 23.671628, 23.504755, 23.054778, 22.983966, 22.934113, 22.9887, 23.16246, 23.065036, 22.923495, 22.818217, 22.806214, 22.916487, 23.063484, 23.017821, 23.158396, 22.968571]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,BVCRSA,10000,30,1,8,4,157,8,,20,4062.4547478495515,4062.6665449981374,0.6207924820208895,0.2720743011850269,4061.4370510011213,4063.4483119974902,"[4061.481251, 4062.871423, 4062.629077, 4062.704013, 4062.897219, 4062.014739, 4062.848018, 4062.938781, 4062.346654, 4062.976852, 4062.019122, 4063.448312, 4061.638854, 4062.370986, 4062.812973, 4061.437051, 4063.249297, 4061.945848, 4062.954343, 4061.510144]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,Trinity,10000,30,1,123,,157,123,,20,88497.72800265018,88496.0250160002,40.36475499132575,17.69063386692275,88445.63704000029,88618.13907100077,"[88618.139071, 88451.22143, 88492.599116, 88452.319571, 88445.63704, 88532.517881, 88492.162674, 88504.496203, 88454.542977, 88510.735946, 88511.243572, 88543.987323, 88513.63093, 88473.564151, 88501.200059, 88499.450916, 88454.636159, 88528.014816, 88485.950303, 88488.509915]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,VC-KASE,10000,30,1,480,,157,480,,20,11854.109915250228,11854.150943499917,0.9480239180330684,0.41548980130345536,11852.527923001617,11856.32925200116,"[11853.676679, 11853.783598, 11856.329252, 11854.923081, 11854.763466, 11853.356159, 11854.642735, 11853.893499, 11852.527923, 11854.408388, 11854.62732, 11852.768238, 11853.097816, 11854.750433, 11855.251251, 11853.423889, 11853.207277, 11854.894706, 11853.430857, 11854.441738]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,ABSE-Range,10000,30,1,123,,157,123,,20,58800.85812335,58801.26797350022,2.6234988162772956,1.1497990516489078,58795.695862001594,58804.29229999936,"[58803.005649, 58802.961995, 58803.642012, 58803.121252, 58800.194866, 58802.68065, 58800.71293, 58802.63946, 58797.564846, 58802.821512, 58804.2923, 58801.807588, 58795.695862, 58798.013899, 58803.826789, 58796.764205, 58798.475023, 58798.018577, 58800.728359, 58800.194693]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_N,Latt-IBEKS,10000,30,1,123,,157,123,,20,54.900754749724,54.459971499454696,1.992133121130667,0.8730908354990908,53.05768699690816,60.70388499938417,"[60.703885, 58.727105, 56.746057, 55.3589, 54.670662, 56.25424, 55.649031, 55.12016, 54.263072, 53.515945, 53.348182, 53.057687, 53.153517, 53.073305, 53.231179, 53.731414, 53.599135, 54.9874, 54.656871, 54.167348]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
